date,open,close,high,low,volume
2020-08-06 10:20:00,10.51,10.5,10.52,10.5,5654.02
2020-08-06 10:15:00,10.52,10.5,10.53,10.5,11750.6
2020-08-06 10:10:00,10.53,10.52,10.54,10.51,13678.0
2020-08-06 10:05:00,10.52,10.53,10.53,10.51,7106.22
2020-08-06 10:00:00,10.53,10.52,10.53,10.51,7925.1
2020-08-06 09:55:00,10.53,10.53,10.54,10.52,8761.0
2020-08-06 09:50:00,10.54,10.52,10.55,10.52,9706.0
2020-08-06 09:45:00,10.57,10.53,10.59,10.53,13998.1
2020-08-06 09:40:00,10.56,10.59,10.63,10.55,28231.8
2020-08-06 09:35:00,10.57,10.55,10.59,10.53,20045.5
2020-08-05 15:00:00,10.53,10.51,10.53,10.51,5932.0
2020-08-05 14:55:00,10.53,10.53,10.53,10.52,6340.31
2020-08-05 14:50:00,10.5,10.52,10.53,10.5,7669.0
2020-08-05 14:45:00,10.51,10.5,10.52,10.5,4987.82
2020-08-05 14:40:00,10.52,10.5,10.53,10.5,7258.63
2020-08-05 14:35:00,10.51,10.52,10.53,10.51,6326.13
2020-08-05 14:30:00,10.52,10.51,10.53,10.51,3174.29
2020-08-05 14:25:00,10.52,10.52,10.53,10.51,4631.38
2020-08-05 14:20:00,10.51,10.52,10.53,10.51,4808.19
2020-08-05 14:15:00,10.53,10.51,10.53,10.5,5010.0
2020-08-05 14:10:00,10.52,10.53,10.53,10.51,4470.0
2020-08-05 14:05:00,10.52,10.52,10.52,10.5,5484.31
2020-08-05 14:00:00,10.52,10.52,10.53,10.51,3456.0
2020-08-05 13:55:00,10.52,10.52,10.53,10.51,3603.0
